ID,USERNAME,PASSWD,USERTYPE,CONTNUM,EMAIL,ADDRESS,DOJ
1000000001,Nikhil,Abc@1234,B,1234567890,abc@abc.com,NGP,2021-08-05
1000000002,Shankar,Abc@1234,S,1234567890,xyz@abc.com,PUN,2021-08-05
1000000003,Abhishek,Abc@1234,B,1234567890,abc@abc.com,PUN,2021-08-06
1000000004,ABCD,Abc@1234,B,1234567890,abc@abc.com,ABCD,2021-08-06
1000000005,Seller1,Abc@1234,S,433343,abc@abc.com,NGP,2021-08-06
1000000006,Seller1,Abc@1234,S,12345,abc@abc.com,NGP,2021-08-06
1000000007,Seller2,Abc@1234,S,9876543210,abc@abc.com,NGP,2021-08-06
1000000008,Nikhil,Abc@1234,B,9876543210,abc@abc.com,Nagpur,2021-08-06
1000000009,Buyer1,Abc@1234,B,9753186420,buyer1@abc.com,"Pune - 14",2021-08-06
1000000010,DFGH,Abc@1234,B,9876543210,abc@abc.com,NGP,2021-08-06
1000000011,Buyer3,Abc@1234,B,9876543210,abcd@abcd.com,"Pune - 30",2021-08-06
